,Class,Accuracy
0,archery_kid,0.800000011920929
1,bouncing on trampoline_kid,0.5245901346206665
2,bowling_kid,0.550000011920929
3,cartwheeling_kid,0.16129031777381897
4,catching or throwing baseball_kid,0.2857142984867096
5,catching or throwing frisbee_kid,0.3333333432674408
6,catching or throwing softball_kid,0.0833333358168602
7,dribbling basketball_kid,0.2857142984867096
8,dunking basketball_kid,0.04545454680919647
9,hitting baseball_kid,0.21875
10,juggling soccer ball_kid,0.6206896305084229
11,kicking soccer ball_kid,0.10526315867900848
12,parkour_kid,0.125
13,playing badminton_kid,0.5
14,playing basketball_kid,0.07692307978868484
15,playing cricket_kid,0.3928571343421936
16,playing tennis_kid,0.800000011920929
17,playing volleyball_kid,0.2666666805744171
18,shooting basketball_kid,0.3333333432674408
19,somersaulting_kid,0.3404255211353302
20,water skiing_kid,1.0
