,Class,Accuracy
0,archery_adult,0.625
1,bouncing on trampoline_adult,0.46666666865348816
2,bowling_adult,0.8536585569381714
3,cartwheeling_adult,0.1666666716337204
4,catching or throwing baseball_adult,0.3333333432674408
5,catching or throwing frisbee_adult,0.18518517911434174
6,catching or throwing softball_adult,0.125
7,dribbling basketball_adult,0.48571428656578064
8,dunking basketball_adult,0.3142857253551483
9,hitting baseball_adult,0.7575757503509521
10,juggling soccer ball_adult,0.35483869910240173
11,kicking soccer ball_adult,0.3125
12,parkour_adult,0.75
13,playing badminton_adult,0.6585366129875183
14,playing basketball_adult,0.0625
15,playing cricket_adult,0.3529411852359772
16,playing tennis_adult,0.6170212626457214
17,playing volleyball_adult,0.7272727489471436
18,shooting basketball_adult,0.3870967626571655
19,somersaulting_adult,0.30000001192092896
20,water skiing_adult,0.8571428656578064
